产品号：35082344,工位号：1，已运行时间：0分，测试合格产品号：35082344,工位号：1，已运行时间：19秒，启动不成功，测试不合格产品号：35082344,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：2，已运行时间：1452772007秒，启动不成功，测试不合格产品号：1554127892,工位号：2，已运行时间：24212866分，测试合格产品号：1554127892,工位号：2，已运行时间：1452772012秒，启动不成功，测试不合格产品号：1554127892,工位号：2，已运行时间：24212866分，测试合格产品号：1554127892,工位号：2，已运行时间：1452772013秒，启动不成功，测试不合格产品号：1554127892,工位号：2，已运行时间：24212866分，测试合格产品号：1554127892,工位号：2，已运行时间：1452772018秒，启动不成功，测试不合格产品号：1554127892,工位号：2，已运行时间：24212866分，测试合格产品号：1554127892,工位号：2，已运行时间：1452772023秒，启动不成功，测试不合格产品号：1554127892,工位号：2，已运行时间：24212867分，测试合格产品号：1554127892,工位号：3，已运行时间：1452772032秒，启动不成功，测试不合格产品号：1554127892,工位号：3，已运行时间：24212867分，测试合格产品号：1554127892,工位号：3，已运行时间：1452772373秒，启动不成功，测试不合格产品号：1554127892,工位号：3，已运行时间：24212872分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：9，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：9，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：9，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：9，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：9，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：9，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：9，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：9，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：2，已运行时间：2分，测试合格产品号：1414011924,工位号：1，已运行时间：2分，测试合格产品号：1414011924,工位号：9，已运行时间：2分，测试合格产品号：1414011924,工位号：1，已运行时间：1分，测试合格产品号：36458664,工位号：1，已运行时间：1分，测试合格产品号：36465664,工位号：2，已运行时间：1分，测试合格产品号：36458512,工位号：3，已运行时间：1分，测试合格产品号：36465832,工位号：4，已运行时间：1分，测试合格产品号：36467728,工位号：5，已运行时间：1分，测试合格产品号：36466304,工位号：6，已运行时间：1分，测试合格产品号：36462416,工位号：7，已运行时间：1分，测试合格产品号：36462536,工位号：8，已运行时间：1分，测试合格产品号：36462784,工位号：9，已运行时间：1分，测试合格产品号：36467896,工位号：10，已运行时间：1分，测试合格产品号：36467952,工位号：11，已运行时间：1分，测试合格产品号：36466472,工位号：12，已运行时间：1分，测试合格产品号：36468544,工位号：13，已运行时间：1分，测试合格产品号：36468968,工位号：14，已运行时间：1分，测试合格产品号：36468712,工位号：15，已运行时间：1分，测试合格产品号：36468120,工位号：16，已运行时间：1分，测试合格产品号：35737768,工位号：1，已运行时间：1分，测试合格
产品号：35741864,工位号：2，已运行时间：1分，测试合格
产品号：44585128,工位号：1，已运行时间：0分，测试合格
产品号：44584976,工位号：2，已运行时间：0分，测试合格
产品号：44592344,工位号：3，已运行时间：0分，测试合格
产品号：44592768,工位号：4，已运行时间：0分，测试合格
产品号：44592400,工位号：5，已运行时间：0分，测试合格
产品号：44588872,工位号：6，已运行时间：0分，测试合格
产品号：44588928,工位号：7，已运行时间：0分，测试合格
产品号：44592880,工位号：8，已运行时间：0分，测试合格
产品号：44592992,工位号：9，已运行时间：0分，测试合格
产品号：44592128,工位号：10，已运行时间：0分，测试合格
产品号：44595096,工位号：11，已运行时间：0分，测试合格
产品号：53235880,工位号：1，已运行时间：0分，测试合格
产品号：53243584,工位号：2，已运行时间：0分，测试合格
产品号：53243464,工位号：1，已运行时间：0分，测试合格
产品号：53235728,工位号：3，已运行时间：0分，测试合格
产品号：51269800,工位号：1，已运行时间：0分，测试合格
产品号：51269592,工位号：2，已运行时间：0分，测试合格
产品号：51277600,工位号：3，已运行时间：0分，测试合格
产品号：51277656,工位号：4，已运行时间：0分，测试合格
产品号：51277440,工位号：5，已运行时间：0分，测试合格
产品号：51273552,工位号：6，已运行时间：0分，测试合格
产品号：51273776,工位号：7，已运行时间：0分，测试合格
产品号：51273832,工位号：8，已运行时间：0分，测试合格
产品号：51279480,工位号：9，已运行时间：0分，测试合格
产品号：51279656,工位号：10，已运行时间：0分，测试合格
产品号：51239376,工位号：11，已运行时间：0分，测试合格
产品号：51279960,工位号：12，已运行时间：0分，测试合格
产品号：51277336,工位号：13，已运行时间：0分，测试合格
产品号：51277496,工位号：14，已运行时间：0分，测试合格
产品号：53563560,工位号：1，已运行时间：0分，测试合格
产品号：53563352,工位号：2，已运行时间：0分，测试合格
产品号：53571360,工位号：3，已运行时间：0分，测试合格
产品号：53571416,工位号：4，已运行时间：0分，测试合格
产品号：53570560,工位号：5，已运行时间：0分，测试合格
产品号：53567256,工位号：6，已运行时间：0分，测试合格
产品号：53567424,工位号：7，已运行时间：0分，测试合格
产品号：53570616,工位号：8，已运行时间：0分，测试合格
产品号：53567480,工位号：9，已运行时间：0分，测试合格
产品号：49893544,工位号：1，已运行时间：0分，测试合格
产品号：49893336,工位号：2，已运行时间：0分，测试合格
产品号：49900600,工位号：3，已运行时间：0分，测试合格
产品号：49863120,工位号：4，已运行时间：0分，测试合格
产品号：49901304,工位号：5，已运行时间：0分，测试合格
产品号：49894592,工位号：6，已运行时间：0分，测试合格
产品号：49897416,工位号：7，已运行时间：0分，测试合格
产品号：49897592,工位号：8，已运行时间：0分，测试合格
产品号：49897240,工位号：9，已运行时间：0分，测试合格
产品号：49897352,工位号：10，已运行时间：0分，测试合格
产品号：1408703508,工位号：1，已运行时间：0分，测试合格
产品号：1408703508,工位号：9，已运行时间：0分，测试合格
产品号：1408703508,工位号：10，已运行时间：0分，测试合格
产品号：1408703508,工位号：2，已运行时间：0分，测试合格
产品号：1408703508,工位号：3，已运行时间：0分，测试合格
产品号：1408703508,工位号：11，已运行时间：0分，测试合格
产品号：1408703508,工位号：12，已运行时间：0分，测试合格
产品号：1408703508,工位号：4，已运行时间：0分，测试合格
产品号：1408703508,工位号：5，已运行时间：0分，测试合格
产品号：1408703508,工位号：6，已运行时间：0分，测试合格
产品号：1408703508,工位号：7，已运行时间：0分，测试合格
产品号：1408703508,工位号：8，已运行时间：0分，测试合格
产品号：1408703508,工位号：16，已运行时间：0分，测试合格
产品号：1408703508,工位号：13，已运行时间：0分，测试合格
产品号：1408703508,工位号：14，已运行时间：0分，测试合格
产品号：1408703508,工位号：15，已运行时间：0分，测试合格
产品号：1408703508,工位号：14，已运行时间：0分，测试合格
产品号：1408703508,工位号：1，已运行时间：0分，测试合格
产品号：1408703508,工位号：11，已运行时间：0分，测试合格
产品号：1408703508,工位号：4，已运行时间：0分，测试合格
产品号：1408703508,工位号：1，已运行时间：0分，测试合格
产品号：1408703508,工位号：3，已运行时间：0分，测试合格
产品号：1408703508,工位号：2，已运行时间：0分，测试合格
产品号：1408703508,工位号：4，已运行时间：0分，测试合格
产品号：1408703508,工位号：5，已运行时间：0分，测试合格
产品号：1408703508,工位号：6，已运行时间：0分，测试合格
产品号：1408703508,工位号：7，已运行时间：0分，测试合格
产品号：1408703508,工位号：8，已运行时间：0分，测试合格
产品号：1408703508,工位号：13，已运行时间：0分，测试合格
产品号：1408703508,工位号：14，已运行时间：0分，测试合格
产品号：1408703508,工位号：15，已运行时间：0分，测试合格
产品号：1408703508,工位号：16，已运行时间：0分，测试合格
产品号：1408703508,工位号：9，已运行时间：0分，测试合格
产品号：1408703508,工位号：10，已运行时间：0分，测试合格
产品号：1408703508,工位号：11，已运行时间：0分，测试合格
产品号：1408703508,工位号：12，已运行时间：0分，测试合格
产品号：1408703508,工位号：4，已运行时间：0分，测试合格
